country,year,export_entropy_global,n_export_partners_global,top_partner_share,top_partner,export_entropy_regional,gap
ARG,2000,0.640710290360969,14,0.44070652361243573,BRA,0.4687692322660372,-0.17194105809493188
ARG,2001,0.6938967326988456,14,0.39304738951298296,BRA,0.5311613505673188,-0.16273538213152672
ARG,2002,0.7428820619756192,14,0.32068182978590315,BRA,0.602217384449656,-0.14066467752596323
ARG,2003,0.7529526332670284,14,0.27096575538998113,BRA,0.6058425278150528,-0.14711010545197567
ARG,2004,0.7556641724928691,14,0.2771523085296305,BRA,0.6245210419621019,-0.1311431305307672
ARG,2005,0.7489823999951124,14,0.2761575016593728,BRA,0.6374079280914131,-0.11157447190369929
ARG,2006,0.7626983803406386,14,0.31516204649023216,BRA,0.6428960646174888,-0.11980231572314981
ARG,2007,0.7532838671457214,14,0.3412643079137379,BRA,0.609841129730248,-0.14344273741547342
ARG,2008,0.7334390792024231,14,0.3585658830024444,BRA,0.5918701197167245,-0.1415689594856986
ARG,2009,0.7352879122244229,14,0.38792072727809623,BRA,0.5865100300034173,-0.14877788222100563
ARG,2010,0.7374648403729694,14,0.3930268928560687,BRA,0.5794286652000332,-0.15803617517293622
ARG,2011,0.7351949264450461,14,0.40638050051434077,BRA,0.5726306857102212,-0.1625642407348249
ARG,2012,0.7549720516828617,14,0.39663901452470773,BRA,0.5973395562982343,-0.15763249538462742
ARG,2013,0.7388031284274938,14,0.4116872973122332,BRA,0.5651351085663031,-0.17366801986119074
ARG,2014,0.7143418293339636,14,0.43181285278620485,BRA,0.5420252588380796,-0.172316570495884
ARG,2015,0.7209658545496878,14,0.38163718093300897,BRA,0.5367951157156985,-0.18417073883398927
ARG,2016,0.750107486815666,14,0.3464337837646726,BRA,0.5734389881640924,-0.17666849865157352
ARG,2017,0.753211655045453,14,0.3504053366374352,BRA,0.606386711017644,-0.146824944027809
ARG,2018,0.7231934662941386,14,0.39697424220072186,BRA,0.5823709560376513,-0.1408225102564873
ARG,2019,0.7433686168533397,14,0.336263707616032,BRA,0.6144153555679495,-0.1289532612853902
ARG,2020,0.7458637423132087,14,0.3249035239966518,BRA,0.6205400096521054,-0.1253237326611033
ARG,2021,0.7710425498418159,14,0.3297447704828188,BRA,0.638855401389572,-0.13218714845224389
ARG,2022,0.7817043756945974,14,0.2961922355331568,BRA,0.6704066385025296,-0.11129773719206781
ARG,2023,0.771859615621264,14,0.3266762496736519,BRA,0.6595356295976617,-0.11232398602360238
ARG,2024,0.7434750063470538,14,0.33610474868519796,BRA,0.628338559546497,-0.11513644680055679
BOL,2000,0.6386835997714784,14,0.3903935845745565,USA,0.6850824058043196,0.04639880603284119
BOL,2001,0.6600127192404237,14,0.33974176415058555,BRA,0.6550775798613885,-0.004935139379035225
BOL,2002,0.6439647032134643,14,0.39618178072971194,BRA,0.6146694506792805,-0.029295252534183858
BOL,2003,0.6631533998205286,14,0.42751838849244567,BRA,0.6119055929860877,-0.05124780683444086
BOL,2004,0.6886616295929354,14,0.41609293162022404,BRA,0.5928317530927809,-0.09582987650015451
BOL,2005,0.6408014125478527,14,0.4709575801056052,BRA,0.5193207795609632,-0.12148063298688949
BOL,2006,0.64805784392961,14,0.46963995371924,BRA,0.5237500032260942,-0.12430784070351575
BOL,2007,0.6705991091971969,14,0.46084295663774416,BRA,0.513196697968268,-0.15740241122892895
BOL,2008,0.6243092359022231,14,0.5160429387341522,BRA,0.4436144755643429,-0.18069476033788018
BOL,2009,0.7343663199847468,14,0.3880779550976562,BRA,0.5829112753569853,-0.1514550446277615
BOL,2010,0.7085645226763276,14,0.4312921640670933,BRA,0.5412573688262816,-0.16730715385004602
BOL,2011,0.7190038466802603,14,0.4110388724742308,BRA,0.5622967101493375,-0.15670713653092283
BOL,2012,0.7106457499309736,14,0.35597684647438177,BRA,0.6037779500256498,-0.1068677999053238
BOL,2013,0.6927112130037988,14,0.3787432055351195,BRA,0.5856909090766178,-0.10702030392718098
BOL,2014,0.7017599656157557,14,0.33859951213537526,BRA,0.5717093381528836,-0.1300506274628721
BOL,2015,0.743142761329921,14,0.3278789775291614,BRA,0.6007534829182598,-0.14238927841166116
BOL,2016,0.8071160335734683,14,0.24021278919008646,BRA,0.6818937436101499,-0.1252222899633184
BOL,2017,0.8045512070499038,14,0.23730659366158674,BRA,0.6572575747155127,-0.14729363233439108
BOL,2018,0.7916054160933493,14,0.26078023273995354,BRA,0.6558501580233187,-0.13575525807003064
BOL,2019,0.7898046522101219,14,0.25777439507339656,BRA,0.6694323987136559,-0.12037225349646596
BOL,2020,0.8131475746595133,14,0.2337692065997591,BRA,0.7196681600079001,-0.09347941465161314
BOL,2021,0.8401074301894922,14,0.20818080786064136,BRA,0.7495286430626209,-0.09057878712687129
BOL,2022,0.8219297576934896,14,0.21153449144811343,BRA,0.7426506684811005,-0.07927908921238913
BOL,2023,0.8186343847737314,14,0.22060057544402806,BRA,0.7445107285906875,-0.07412365618304395
BOL,2024,0.8120942046740881,14,0.2342898070433431,BRA,0.7178263065470624,-0.09426789812702574
BRA,2000,0.6806908415869869,14,0.43551847498851337,USA,0.6097690908940733,-0.07092175069291362
BRA,2001,0.6880038733292859,14,0.45923475372829814,USA,0.6676711459900857,-0.02033272733920022
BRA,2002,0.6952247096185028,14,0.48946191764095126,USA,0.8031961222584865,0.10797141263998367
BRA,2003,0.7259574287448853,14,0.42785012676590917,USA,0.7426360055039148,0.016678576759029506
BRA,2004,0.7416592741559602,14,0.3991922204839442,USA,0.720655756581852,-0.021003517574108233
BRA,2005,0.761208295634252,14,0.3700015843523855,USA,0.7221846730132505,-0.03902362262100145
BRA,2006,0.7740488986590843,14,0.3512802183690212,USA,0.7356740653684416,-0.03837483329064273
