country,year,export_entropy,n_export_partners
ARG,2000,0.640710290360969,14
ARG,2001,0.6938967326988456,14
ARG,2002,0.7428820619756192,14
ARG,2003,0.7529526332670284,14
ARG,2004,0.7556641724928691,14
ARG,2005,0.7489823999951124,14
ARG,2006,0.7626983803406386,14
ARG,2007,0.7532838671457214,14
ARG,2008,0.7334390792024231,14
ARG,2009,0.7352879122244229,14
ARG,2010,0.7374648403729694,14
ARG,2011,0.7351949264450461,14
ARG,2012,0.7549720516828617,14
ARG,2013,0.7388031284274938,14
ARG,2014,0.7143418293339636,14
ARG,2015,0.7209658545496878,14
ARG,2016,0.750107486815666,14
ARG,2017,0.753211655045453,14
ARG,2018,0.7231934662941386,14
ARG,2019,0.7433686168533397,14
ARG,2020,0.7458637423132087,14
ARG,2021,0.7710425498418159,14
ARG,2022,0.7817043756945974,14
ARG,2023,0.771859615621264,14
ARG,2024,0.7434750063470538,14
ARG,2025,0.7299164757341533,14
BOL,2000,0.6386835997714784,14
BOL,2001,0.6600127192404237,14
BOL,2002,0.6439647032134643,14
BOL,2003,0.6631533998205286,14
BOL,2004,0.6886616295929354,14
BOL,2005,0.6408014125478527,14
BOL,2006,0.64805784392961,14
BOL,2007,0.6705991091971969,14
BOL,2008,0.6243092359022231,14
BOL,2009,0.7343663199847468,14
BOL,2010,0.7085645226763276,14
BOL,2011,0.7190038466802603,14
BOL,2012,0.7106457499309736,14
BOL,2013,0.6927112130037988,14
BOL,2014,0.7017599656157557,14
BOL,2015,0.743142761329921,14
BOL,2016,0.8071160335734683,14
BOL,2017,0.8045512070499038,14
BOL,2018,0.7916054160933493,14
BOL,2019,0.7898046522101219,14
BOL,2020,0.8131475746595133,14
BOL,2021,0.8401074301894922,14
BOL,2022,0.8219297576934896,14
BOL,2023,0.8186343847737314,14
BOL,2024,0.8120942046740881,14
BOL,2025,0.7934704917725225,14
BRA,2000,0.6806908415869869,14
BRA,2001,0.6880038733292859,14
BRA,2002,0.6952247096185028,14
BRA,2003,0.7259574287448853,14
BRA,2004,0.7416592741559602,14
BRA,2005,0.761208295634252,14
BRA,2006,0.7740488986590843,14
BRA,2007,0.7743986905209974,14
BRA,2008,0.7856294344723465,14
BRA,2009,0.766110853271243,14
