year,method,y_true,y_pred,pi_lo,pi_hi,abs_error,in_interval,country
2015,naive,0.7209658545496878,0.7143418293339636,0.6858294117451715,0.7428542469227557,0.006624025215724139,True,ARG
2015,ets,0.7209658545496878,0.7032171634715455,0.6847346143733376,0.7216997125697534,0.017748691078142254,True,ARG
2015,arima,0.7209658545496878,0.7144637367180713,0.700246517576268,0.7286809558598746,0.006502117831616472,True,ARG
2015,bayesian,0.7209658545496878,0.6990638371832097,0.6658345418937773,0.7322931324726422,0.02190201736647801,True,ARG
2015,xgboost,0.7209658545496878,0.722292959690094,0.7166529501939212,0.7279329691862668,0.0013271051404062373,True,ARG
2016,naive,0.750107486815666,0.7209658545496878,0.6934167878190016,0.7485149212803739,0.029141632265978212,False,ARG
2016,ets,0.750107486815666,0.7187798780887783,0.6999882761145865,0.7375714800629701,0.03132760872688767,False,ARG
2016,arima,0.750107486815666,0.718298393596728,0.7045052620265528,0.7320915251669031,0.03180909321893799,False,ARG
2016,bayesian,0.750107486815666,0.6949389748682012,0.6623152870744478,0.7275626626619547,0.05516851194746475,False,ARG
2016,xgboost,0.750107486815666,0.7216442227363586,0.716133203130973,0.7271552423417443,0.028463264079307327,False,ARG
2017,naive,0.753211655045453,0.750107486815666,0.7224309465491517,0.7777840270821802,0.0031041682297869855,True,ARG
2017,ets,0.753211655045453,0.7552854952112488,0.734121751334197,0.7764492390883005,0.002073840165795815,True,ARG
2017,arima,0.753211655045453,0.7388224580477045,0.7226201058539531,0.755024810241456,0.014389196997748432,True,ARG
2017,bayesian,0.753211655045453,0.709293000998932,0.6734521546868933,0.7451338473109707,0.043918654046520955,False,ARG
2017,xgboost,0.753211655045453,0.738958477973938,0.7322234845495538,0.7456934713983222,0.014253177071514966,False,ARG
2018,naive,0.7231934662941386,0.753211655045453,0.7263378779698058,0.7800854321211002,0.030018188751314345,False,ARG
2018,ets,0.7231934662941386,0.7566186415830504,0.7360653843755647,0.777171898790536,0.03342517528891176,False,ARG
2018,arima,0.7231934662941386,0.7384437779228171,0.7251213105438729,0.7517662453017614,0.015250311628678515,False,ARG
2018,bayesian,0.7231934662941386,0.7202767680823154,0.6833359027812204,0.7572176333834105,0.0029166982118231655,True,ARG
2018,xgboost,0.7231934662941386,0.7452180981636047,0.7385309424759023,0.7519052538513071,0.022024631869466127,False,ARG
2019,naive,0.7433686168533397,0.7231934662941386,0.6949490281451061,0.7514379044431712,0.02017515055920105,True,ARG
2019,ets,0.7433686168533397,0.722109600519995,0.7004893861396722,0.7437298149003178,0.021259016333344705,True,ARG
2019,arima,0.7433686168533397,0.7199001134469237,0.7063833116738295,0.733416915220018,0.02346850340641593,False,ARG
2019,bayesian,0.7433686168533397,0.7149210731348701,0.6792332555860838,0.7506088906836563,0.02844754371846958,True,ARG
2019,xgboost,0.7433686168533397,0.7307729125022888,0.724362576037197,0.7371832489673806,0.01259570435105084,False,ARG
2020,naive,0.7458637423132087,0.7433686168533397,0.7155176998450792,0.7712195338616001,0.002495125459869074,True,ARG
2020,ets,0.7458637423132087,0.7438669351791567,0.7217105094281636,0.7660233609301498,0.0019968071340520366,True,ARG
2020,arima,0.7458637423132087,0.7513952929849005,0.7368132388044063,0.7659773471653947,0.005531550671691754,True,ARG
2020,bayesian,0.7458637423132087,0.7199145546943256,0.6844311455434425,0.7553979638452087,0.025949187618883096,True,ARG
2020,xgboost,0.7458637423132087,0.7439765930175781,0.7368078619346514,0.7511453241005048,0.001887149295630608,True,ARG
2021,naive,0.7710425498418159,0.7458637423132087,0.7187058772238017,0.7730216074026157,0.025178807528607128,True,ARG
2021,ets,0.7710425498418159,0.7462625150873471,0.7245907613667563,0.7679342688079379,0.02478003475446877,False,ARG
