country,year,forecast_mu,forecast_sigma,threshold_p20,p_alert,actual_alert,actual_entropy
ARG,2015,0.7143418293339636,0.02224751684518733,0.7296196292287312,0.7538701937199015,1,0.7209658545496878
ARG,2016,0.7209658545496878,0.021495838585117145,0.7209658545496878,0.5,0,0.750107486815666
ARG,2017,0.750107486815666,0.021595302954521087,0.7234604994802348,0.10861539932299563,0,0.753211655045453
ARG,2018,0.753211655045453,0.020968927181372658,0.7259551444107819,0.09682577846185464,1,0.7231934662941386
ARG,2019,0.7231934662941386,0.022038419279831887,0.7223024215963583,0.4838745885709235,0,0.7433686168533397
ARG,2020,0.7433686168533397,0.021731364706819974,0.7227479439452484,0.1713383010067328,0,0.7458637423132087
ARG,2021,0.7458637423132087,0.021190593858775735,0.7231934662941386,0.1423485236124557,0,0.7710425498418159
ARG,2022,0.7710425498418159,0.021110569777163052,0.7252425888757955,0.01502133070825544,0,0.7817043756945974
ARG,2023,0.7817043756945974,0.02064607453246249,0.7272917114574524,0.004200710373730455,0,0.771859615621264
ARG,2024,0.771859615621264,0.020462501813609407,0.7293408340391093,0.018859850140700383,0,0.7434750063470538
ARG,2025,0.7434750063470538,0.021158051615657442,0.7313899566207662,0.28393891623169354,1,0.7299164757341533
BOL,2015,0.7017599656157557,0.03760882760958617,0.643332045080342,0.060143591747096554,0,0.743142761329921
BOL,2016,0.743142761329921,0.03747995955741768,0.6439647032134643,0.004070536614841927,0,0.8071160335734683
BOL,2017,0.8071160335734683,0.038825044311698774,0.6447833313566934,1.4502960085418327e-05,0,0.8045512070499038
BOL,2018,0.8045512070499038,0.03779157977311847,0.6456019594999226,1.2999761991564788e-05,0,0.7916054160933493
BOL,2019,0.7916054160933493,0.037093154857950436,0.6464205876431517,4.537856063092131e-05,0,0.7898046522101219
BOL,2020,0.7898046522101219,0.0361769590382379,0.6472392157863809,4.0608544946198384e-05,0,0.8131475746595133
BOL,2021,0.8131475746595133,0.03542009354949989,0.64805784392961,1.5741015452237021e-06,0,0.8401074301894922
BOL,2022,0.8401074301894922,0.03478395857430141,0.6504488189917728,2.4836992895020752e-08,0,0.8219297576934896
BOL,2023,0.8219297576934896,0.034472967575183575,0.6528397940539354,4.671327142897286e-07,0,0.8186343847737314
BOL,2024,0.8186343847737314,0.03379846928760764,0.6552307691160982,6.669157579733042e-07,0,0.8120942046740881
BOL,2025,0.8120942046740881,0.03321111212647161,0.6576217441782609,1.6498199547824954e-06,0,0.7934704917725225
BRA,2015,0.7266796087035986,0.014967870635435978,0.7171100820325487,0.26130157571073587,0,0.7227140725799919
BRA,2016,0.7227140725799919,0.01457299904229501,0.7225814251360602,0.4963687678221949,0,0.7233924475640234
BRA,2017,0.7233924475640234,0.014119602157540864,0.7226079546248465,0.4778459440489157,1,0.7011709917508601
BRA,2018,0.7011709917508601,0.014897483401049405,0.7097351651049401,0.7173116852610473,1,0.6581717219786055
BRA,2019,0.6581717219786055,0.017667189172356663,0.6987924788979172,0.9892537786426261,1,0.6511694793564657
BRA,2020,0.6511694793564657,0.017243866260602935,0.6937805423606594,0.9932648142483029,1,0.6001233608824512
BRA,2021,0.6001233608824512,0.019970837242729123,0.6880038733292859,0.9999945984717817,1,0.626457986065743
BRA,2022,0.626457986065743,0.020534173568406672,0.6821534479354467,0.9966594012777202,1,0.6654723016245976
BRA,2023,0.6654723016245976,0.02185317181084267,0.6715597176095534,0.6097086808855255,1,0.6301237656672634
BRA,2024,0.6301237656672634,0.02251107540560345,0.6625520697662007,0.9251439120441127,1,0.6258692875161233
BRA,2025,0.6258692875161233,0.022040933997262223,0.6567712734541775,0.9195464171772896,1,0.628860321711634
CHL,2015,0.7476038985710493,0.024585935652246673,0.7502754687999911,0.5432649228973465,1,0.741470880458937
CHL,2016,0.741470880458937,0.023756556448755364,0.7484537897986916,0.615596630523014,1,0.724235145263236
CHL,2017,0.724235145263236,0.023209638145923313,0.7477738768165777,0.8447513669756445,1,0.7253667891029738
CHL,2018,0.7253667891029738,0.02256657492399833,0.7447378966325247,0.8046636922751678,1,0.681941657375679
CHL,2019,0.681941657375679,0.02364229063607822,0.7422846893876798,0.994649812051903,1,0.6889754334056603
CHL,2020,0.6889754334056603,0.023224438785022367,0.7382500621877444,0.9830673312630143,1,0.6383430930098305
CHL,2021,0.6383430930098305,0.02461460939175035,0.7253667891029738,0.9997964585899507,1,0.6268517993234592
CHL,2022,0.6268517993234592,0.02402990164610573,0.7244614740311835,0.9999756738906448,1,0.6398207944791464
CHL,2023,0.6398207944791464,0.023904720993257186,0.7030793181486905,0.995930847972796,1,0.645194821815606
CHL,2024,0.645194821815606,0.023529682493942782,0.6861619229936677,0.9591653765832336,1,0.6362076721722574
CHL,2025,0.6362076721722574,0.0230374025803076,0.6745922902636644,0.9521619015400944,1,0.6387411135231758
COL,2015,0.643510223591985,0.02507825079553163,0.48606914803474477,1.7148600136985133e-10,0,0.6726725006123907
COL,2016,0.6726725006123907,0.024533140050495797,0.4868961223406927,1.8310200184640965e-14,0,0.6507484078791107
COL,2017,0.6507484078791107,0.025356787250641093,0.4897917639909998,1.0929664700837402e-10,0,0.6945812897401894
COL,2018,0.6945812897401894,0.025685003348905326,0.4926874056413069,1.9148507786118555e-15,0,0.7126056785562486
COL,2019,0.7126056785562486,0.02497604327824283,0.495583047291614,1.824491118950119e-18,0,0.6845735693426025
COL,2020,0.6845735693426025,0.026098489313334847,0.49847868894192116,5.000802364890391e-13,0,0.7043904875505401
COL,2021,0.7043904875505401,0.025491023255128184,0.5013743305922282,8.313355905633608e-16,0,0.710260587576236
COL,2022,0.710260587576236,0.024918323531311192,0.5014072953564173,2.61254620932309e-17,0,0.6794463576524264
COL,2023,0.6794463576524264,0.025949669344670655,0.5014402601206063,3.4510558618942248e-12,0,0.688089772175707
COL,2024,0.688089772175707,0.025381660615667007,0.5014732248847952,9.732736795911009e-14,0,0.6785798534804602
COL,2025,0.6785798534804602,0.025159811644941184,0.5015061896489842,9.753967300064234e-13,0,0.586505992383561
ECU,2015,0.5233711078284614,0.03547725273760893,0.5086384690588579,0.3389721298312499,0,0.5961479295105361
ECU,2016,0.5961479295105361,0.03977087271064735,0.5107254607020152,0.015862237470580767,0,0.6513704259069593
ECU,2017,0.6513704259069593,0.04098171795586688,0.5120199535625657,0.00033654967274690994,0,0.6540988211797658
ECU,2018,0.6540988211797658,0.039760401481357434,0.5133144464231161,0.00019944375316744965,0,0.6540821859778789
ECU,2019,0.6540821859778789,0.038640893699636955,0.5146089392836666,0.00015341009483410003,0,0.6396377817123751
ECU,2020,0.6396377817123751,0.037767293373248086,0.515903432144217,0.0005260137509192606,0,0.634026059124426
