year,method,y_true,y_pred,pi_lo,pi_hi,abs_error,in_interval,country
2015,naive,0.5367951157156985,0.5420252588380796,0.5032142754436706,0.5808362422324886,0.005230143122381126,True,ARG
2015,ets,0.5367951157156985,0.5320614148587663,0.5070578868654922,0.5570649428520404,0.004733700856932144,True,ARG
2015,arima,0.5367951157156985,0.533918432503169,0.513722846736058,0.55411401827028,0.0028766832125295405,True,ARG
2015,bayesian,0.5367951157156985,0.5034746796999032,0.45854290745149684,0.5484064519483096,0.03332043601579526,True,ARG
2015,xgboost,0.5367951157156985,0.5575827956199646,0.5495667542345684,0.5655988370053608,0.02078767990426611,False,ARG
2016,naive,0.5734389881640924,0.5367951157156985,0.4991512503340653,0.5744389810973317,0.036643872448393955,True,ARG
2016,ets,0.5734389881640924,0.5266052914216912,0.502172166215816,0.5510384166275665,0.04683369674240123,False,ARG
2016,arima,0.5734389881640924,0.5279696614861764,0.5085335400493811,0.5474057829229717,0.04546932667791603,False,ARG
2016,bayesian,0.5734389881640924,0.4917031784497221,0.4470966669915544,0.5363096899078897,0.08173580971437033,False,ARG
2016,xgboost,0.5734389881640924,0.5452616214752197,0.5366781133966713,0.5538451295537682,0.028177366688872718,False,ARG
2017,naive,0.606386711017644,0.5734389881640924,0.5356538642484607,0.6112241120797242,0.03294772285355152,True,ARG
2017,ets,0.606386711017644,0.5778037083859824,0.5496568536351589,0.6059505631368058,0.02858300263166158,False,ARG
2017,arima,0.606386711017644,0.5576459188237918,0.534754682928425,0.5805371547191586,0.04874079219385219,False,ARG
2017,bayesian,0.606386711017644,0.5089136482649286,0.4585097480507822,0.5593175484790749,0.09747306275271539,False,ARG
2017,xgboost,0.606386711017644,0.5746565461158752,0.565856931601208,0.5834561606305425,0.03173016490176872,False,ARG
2018,naive,0.5823709560376513,0.606386711017644,0.5688748734631401,0.6438985485721478,0.024015754979992643,True,ARG
2018,ets,0.5823709560376513,0.6217300642366027,0.5927533079100353,0.6507068205631701,0.03935910819895139,False,ARG
2018,arima,0.5823709560376513,0.621248359575377,0.5911655892928577,0.6513311298578964,0.03887740353772573,False,ARG
2018,bayesian,0.5823709560376513,0.5436611524377025,0.4873066862117466,0.6000156186636584,0.0387098035999488,True,ARG
2018,xgboost,0.5823709560376513,0.5944294929504395,0.5833895999302509,0.605469385970628,0.012058536912788131,False,ARG
2019,naive,0.6144153555679495,0.5823709560376513,0.5447169366484095,0.6200249754268932,0.03204439953029814,True,ARG
2019,ets,0.6144153555679495,0.5830676445975136,0.553600235405207,0.6125350537898202,0.03134771097043587,False,ARG
2019,arima,0.6144153555679495,0.5680726741724678,0.5425622346890497,0.5935831136558858,0.0463426813954817,False,ARG
2019,bayesian,0.6144153555679495,0.5545360995193452,0.499121822547205,0.6099503764914855,0.059879256048604224,False,ARG
2019,xgboost,0.6144153555679495,0.5860108137130737,0.5759221548689747,0.5960994725571728,0.02840454185487573,False,ARG
2020,naive,0.6205400096521054,0.6144153555679495,0.5770330729859433,0.6517976381499556,0.006124654084155967,True,ARG
2020,ets,0.6205400096521054,0.6197302335049338,0.5892939011322199,0.6501665658776478,0.0008097761471715925,True,ARG
2020,arima,0.6205400096521054,0.6158993036724458,0.5875643356307158,0.6442342717141759,0.004640705979659598,True,ARG
2020,bayesian,0.6205400096521054,0.5768349871306788,0.5231406783859952,0.6305292958753624,0.043705022521426606,True,ARG
2020,xgboost,0.6205400096521054,0.5831230878829956,0.5725464041079437,0.5936997716580475,0.03741692176910982,False,ARG
2021,naive,0.638855401389572,0.6205400096521054,0.5841017255066678,0.656978293797543,0.018315391737466546,True,ARG
2021,ets,0.638855401389572,0.6249488662961589,0.5952277519403483,0.6546699806519695,0.013906535093413108,True,ARG
2021,arima,0.638855401389572,0.6207956976559028,0.5932296047509269,0.6483617905608787,0.018059703733669163,True,ARG
2021,bayesian,0.638855401389572,0.5840709026218905,0.53149745928052,0.6366443459632611,0.05478449876768143,False,ARG
2021,xgboost,0.638855401389572,0.6155369877815247,0.6047520814268694,0.6263218941361799,0.023318413608047317,False,ARG
2022,naive,0.6704066385025296,0.638855401389572,0.6031749639124001,0.6745358388667438,0.0315512371129576,True,ARG
2022,ets,0.6704066385025296,0.6451334019600329,0.6157722694140539,0.6744945345060118,0.02527323654249669,True,ARG
2022,arima,0.6704066385025296,0.6399736131785251,0.612623977686969,0.6673232486700812,0.030433025324004492,False,ARG
