country,year,forecast_mu,forecast_sigma,threshold_p20,p_alert,actual_alert,actual_entropy
ARG,2015,0.5420252588380796,0.030283226743452733,0.5605131386206584,0.7292343487029259,1,0.5367951157156985
ARG,2016,0.5367951157156985,0.029372554136730022,0.5420252588380796,0.570662956424137,0,0.5734389881640924
ARG,2017,0.5734389881640924,0.029482774590848713,0.5466472287837243,0.18174742795395282,0,0.606386711017644
ARG,2018,0.606386711017644,0.029269536169244555,0.551269198729369,0.029843295831580095,0,0.5823709560376513
ARG,2019,0.5823709560376513,0.029380477051530775,0.5558911686750138,0.18372198485990543,0,0.6144153555679495
ARG,2020,0.6144153555679495,0.02916844770755786,0.5605131386206584,0.03230383584333924,0,0.6205400096521054
ARG,2021,0.6205400096521054,0.02843186965155867,0.5651351085663031,0.02566622623099419,0,0.638855401389572
ARG,2022,0.638855401389572,0.02784054110266219,0.5666342239950868,0.0047419301732559965,0,0.6704066385025296
ARG,2023,0.6704066385025296,0.027635617753946917,0.5681333394238703,0.00010746953228044086,0,0.6595356295976617
ARG,2024,0.6595356295976617,0.02733527954682455,0.569632454852654,0.0005028873986785435,0,0.628338559546497
ARG,2025,0.628338559546497,0.027899059677474063,0.5711315702814376,0.02015788885744254,0,0.6366149575453036
BOL,2015,0.5717093381528836,0.05084121716161315,0.522864158493068,0.16834151277015869,0,0.6007534829182598
BOL,2016,0.6007534829182598,0.04998345460819896,0.5237500032260942,0.061709594358792814,0,0.6818937436101499
BOL,2017,0.6818937436101499,0.052756743407710874,0.5272514763461317,0.001688101373267256,0,0.6572575747155127
BOL,2018,0.6572575747155127,0.051503522132844266,0.5307529494661691,0.007020114246923932,0,0.6558501580233187
BOL,2019,0.6558501580233187,0.050052454229681735,0.5342544225862067,0.007562625401435495,0,0.6694323987136559
BOL,2020,0.6694323987136559,0.04883566821216768,0.5377558957062442,0.00350553242089882,0,0.7196681600079001
BOL,2021,0.7196681600079001,0.04888263544836039,0.5412573688262816,0.00013123327545776415,0,0.7495286430626209
BOL,2022,0.7495286430626209,0.04807926050845817,0.5454652370908928,1.0963231141725726e-05,0,0.7426506684811005
BOL,2023,0.7426506684811005,0.04701951410149561,0.549673105355504,2.0285681603136596e-05,0,0.7445107285906875
BOL,2024,0.7445107285906875,0.045986250879406866,0.5538809736201151,1.6963706295433885e-05,0,0.7178263065470624
BOL,2025,0.7178263065470624,0.04539633309963355,0.5580888418847263,0.00021680842484942756,0,0.7348504223613624
BRA,2015,0.7250992076533691,0.049561565963586234,0.6632070150441837,0.10587019089249255,0,0.7290722483532568
BRA,2016,0.7290722483532568,0.047892838461911474,0.6632302773718394,0.08460030121658324,0,0.723133073170102
BRA,2017,0.723133073170102,0.046493819685441085,0.6641184510954886,0.1021669789722845,0,0.7008181668292767
BRA,2018,0.7008181668292767,0.045633017063885326,0.6650066248191379,0.2162934502608851,0,0.7362670260376168
BRA,2019,0.7362670260376168,0.04487984460427567,0.6658947985427872,0.058438925181071216,0,0.7997127265754365
BRA,2020,0.7997127265754365,0.045463158614532234,0.6667829722664365,0.0017283758543633222,0,0.7837175142843193
BRA,2021,0.7837175142843193,0.044672639294128874,0.6676711459900857,0.004692444974000828,0,0.7947779889011681
BRA,2022,0.7947779889011681,0.04359893628337169,0.6695765075692531,0.002041586401406707,0,0.795438032421766
BRA,2023,0.795438032421766,0.0426303423459467,0.6714818691484205,0.0018204985562778968,0,0.775769516416264
BRA,2024,0.775769516416264,0.04208548438660673,0.6733872307275879,0.007492899931123225,0,0.7822982259117669
BRA,2025,0.7822982259117669,0.04119960479915173,0.6752925923067552,0.004698688266828506,0,0.7503582406651997
CHL,2015,0.8236031306446692,0.021483533833133985,0.8171651234486517,0.3822137919927084,0,0.8420853525797729
CHL,2016,0.8420853525797729,0.02123732762286652,0.8174222554618438,0.12275815514577354,0,0.8396510275956008
CHL,2017,0.8396510275956008,0.020586640140051134,0.8175256755856865,0.14124485286176508,0,0.8297448742282009
CHL,2018,0.8297448742282009,0.020148037610616714,0.8176290957095291,0.27380747734999483,0,0.8306264085660057
CHL,2019,0.8306264085660057,0.019580405902692926,0.8177325158333717,0.2551052425924322,0,0.818770168778807
CHL,2020,0.818770168778807,0.019264396127478652,0.8178359359572144,0.480660751901102,1,0.8135462292809685
CHL,2021,0.8135462292809685,0.018812038957346386,0.8174222554618438,0.5816200356165754,1,0.7798476355479782
CHL,2022,0.7798476355479782,0.019696472421207888,0.8163937274090756,0.9682349890715308,0,0.817259106712228
CHL,2023,0.817259106712228,0.020904348784153343,0.8165855999224213,0.4871489009416686,0,0.8196408418725654
CHL,2024,0.8196408418725654,0.020450661119075602,0.8168101021856902,0.44495503453158075,1,0.7850695001957573
CHL,2025,0.7850695001957573,0.021184761193037062,0.8156185221729004,0.9253527836567567,1,0.8018259616158924
COL,2015,0.8472306054331674,0.030792669510391127,0.7766561332601551,0.010955001519402527,0,0.8574828749133883
COL,2016,0.8574828749133883,0.029879154567213545,0.7784003715033939,0.004063530354620468,0,0.8802550677367319
COL,2017,0.8802550677367319,0.029459449402015486,0.7794146507818814,0.0003096424806939336,0,0.8729719216306921
COL,2018,0.8729719216306921,0.02865023029241418,0.780428930060369,0.0006187434974236021,0,0.8632547684004078
COL,2019,0.8632547684004078,0.027945940368786327,0.7814432093388564,0.0017085309616290444,0,0.8606108535535208
COL,2020,0.8606108535535208,0.027207799848148955,0.7824574886173439,0.002036436766054086,0,0.8644809172155739
COL,2021,0.8644809172155739,0.026532189446194936,0.7834717678958314,0.0011319229869119424,0,0.8609903562703837
COL,2022,0.8609903562703837,0.02590474100481184,0.7867716298053319,0.00208462851149398,0,0.8651085851480436
COL,2023,0.8651085851480436,0.025323460949877818,0.7900714917148325,0.0015225641168175972,0,0.8609839557122393
COL,2024,0.8609839557122393,0.024782657251584322,0.793371353624333,0.003183832469714984,0,0.8609431988977787
COL,2025,0.8609431988977787,0.024260862620143583,0.7966712155338336,0.00403407623406442,0,0.8016033609796105
ECU,2015,0.6544865659989915,0.029692691203596487,0.6622506598391245,0.6031394500690708,0,0.7311800168066239
ECU,2016,0.7311800168066239,0.035359778819820616,0.6641916832991577,0.029080776310889764,0,0.7416086046779417
ECU,2017,0.7416086046779417,0.03434207813027859,0.664696155275147,0.012558516427912031,0,0.7274657260368845
ECU,2018,0.7274657260368845,0.03348318486012806,0.6652006272511364,0.03147155971889791,0,0.7045290483278281
ECU,2019,0.7045290483278281,0.032932378593547716,0.6657050992271257,0.11921919249655571,0,0.7220597605698535
ECU,2020,0.7220597605698535,0.032350352637991166,0.6662095712031151,0.04213623585959555,0,0.744813949889236
ECU,2021,0.744813949889236,0.031953545044514135,0.6667140431791044,0.0072592851278225476,0,0.7547234204718244
ECU,2022,0.7547234204718244,0.03125216919234978,0.6671706452433178,0.0025433266391538837,0,0.7461012773979543
ECU,2023,0.7461012773979543,0.030594618633029386,0.6676272473075312,0.005159357254819609,0,0.7966500849938282
ECU,2024,0.7966500849938282,0.031633064653951645,0.6680838493717447,2.40885090476815e-05,0,0.8136675382214347
ECU,2025,0.8136675382214347,0.03110422502834205,0.6685404514359581,1.5368542272351841e-06,0,0.8309912887255998
GTM,2015,0.548214548785349,0.04457993512952475,0.39049584697800976,0.00020167253541908455,0,0.5752618983058302
GTM,2016,0.5752618983058302,0.04333404664889772,0.393705510208255,1.396655424293815e-05,0,0.5610048113271396
GTM,2017,0.5610048113271396,0.042337822381758115,0.4026614012795466,9.201052225062925e-05,0,0.5902370599536326
